Date,A,ADBE,ADSK,AMAT,AVGO,AYI,AZO,BBY,CAG,CASY,COO,COST,CPB,CPRT,CRM,CSCO,DCI,DG,DKS,DLTR,DRI,FDS,FDX,FL,GIS,GME,GPN,GPS,HD,HPQ,HRL,INTU,JBL,JWN,KMX,KR,KSS,LOW,M,MON,MSM,MTN,MU,NKE,NTAP,NVDA,ORCL,PANW,PAYX,PVH,RAD,RHT,RPM,SJM,SNPS,STZ,THO,TJX,TTC,VMW,WDAY,WMT,WSM
2012-11-13,24.9695685003,32.54,30.64,9.50491086209,30.6633196109,61.8266763504,373.55,13.5023692081,24.3947752333,46.1746413729,91.3656980579,81.7825618546,31.7511387546,14.84,35.2775,14.3515672434,29.9148847447,44.9897600465,45.737534725,37.71,38.0705148132,81.6621358986,87.5018592516,29.5592256651,33.6276947344,18.7590240547,20.8434138914,29.1714780741,57.021774898,5.20165418749,13.8132232541,56.0433177029,15.798960501,45.3899317267,33.69,11.5308505363,42.2196682943,29.3942004045,33.3856267659,77.7532291228,64.0400233586,48.2157002467,5.74,21.4848793123,24.0511108129,10.9770531988,27.9773375694,53.19,27.3339361466,107.814838809,1.07,47.41,23.7600911714,77.1116660801,31.97,33.4296120578,36.9727168948,39.6751084285,19.2004799973,86.6,46.99,63.0161679443,40.8885028762
2012-11-14,24.8389817121,32.235,30.44,9.39607600489,30.4329761643,61.1200857636,369.75,13.184160507,24.272012166,45.1158962392,90.5174092174,80.9749067082,31.5775404017,14.69,34.92,15.0421459212,29.3738123352,45.5497184334,44.6158569065,37.76,37.3945310379,80.9521105525,84.2710808976,28.7799205126,34.063530168,18.9364524852,20.6095536735,29.1195253081,55.3033843953,5.19967486703,13.8040995928,55.3242070925,15.9851592105,44.7449299642,33.04,11.3911955036,42.3187948878,29.4033947118,33.2318546877,76.5210791132,62.7861182474,47.2726058653,5.555,21.2805298534,24.7746537249,10.707962292,27.567276659,52.39,26.8446144379,106.28597277,1.01,47.76,23.2903840352,76.3764256109,31.45,32.9811541532,36.3543275192,39.7034073646,19.3222985624,84.86,47.38,62.5773978013,40.0538624267
2012-11-15,24.5709351469,32.64,30.5,9.34193066343,29.714304611,61.2378508614,372.78,13.1153586257,24.2895497471,45.2208169281,89.2200262848,82.0292005079,31.4647014723,14.53,35.1825,15.2810548002,29.474690242,46.3027659191,44.8222456251,39.7,37.4985285418,83.8752019121,83.7100475307,28.861475703,34.0720759609,19.7590752081,20.6195099796,28.7991499182,55.1054545992,5.17790234189,13.9637636661,55.608066544,16.2179075974,44.8028147377,33.35,11.3492989938,42.28575269,28.8710443197,33.60774199,77.269496156,63.7129176774,47.3542198022,5.47,21.3345532736,27.5861582434,10.7543572759,27.9121938021,51.4,26.8658892948,106.534165309,1.02,47.73,22.8472640955,76.0912394242,31.72,32.7179288614,35.8491643673,39.6185105563,19.1114587382,84.77,47.94,60.3045684603,38.588802063
2012-11-16,24.61217308,32.65,31.4807,9.20561500479,29.4286787372,60.5999565816,380.5,11.825323351,24.3246249092,44.4863721056,91.0263825217,82.0206290136,31.8032182605,14.715,36.075,15.3225338106,30.0524455268,47.0171955851,44.8850595829,38.8202,37.8253778397,83.6077897688,83.3134549783,30.1482353733,34.0037096183,20.605892717,20.8485050204,29.0848901308,55.8881769748,5.0868536004,14.0823712634,56.0906276115,16.4134162423,45.37339322,33.31,11.4144713424,42.1535838986,29.4033947118,34.3253450218,77.7897372712,63.4766746854,51.1084608972,5.47,21.74794988,27.6404171109,10.5594983434,27.9586984371,53.25,27.0105583217,107.507080061,1.01,48.45,22.9624752798,74.7366050377,31.27,33.2833757845,35.1001293489,40.042994598,19.6268449753,85.81,48.85,59.6990656629,38.3845815275
2012-11-19,25.7805811849,32.92,31.32,9.47770214779,30.1749915042,61.4046847499,382.3,11.825323351,24.4298503954,44.686675239,92.4634836162,82.7751776573,32.0722957076,14.79,36.83,15.5872499589,30.5293229047,46.7951431213,46.21312612,40.45,38.5533603669,83.6538953107,84.2904268758,30.41102432,34.576277737,20.9042950773,21.1322597449,29.812228854,56.9767908534,5.26499244244,14.278529982,55.7783822149,16.9999421773,46.6964737586,34.22,11.4656781877,43.1448498339,31.2238675551,34.9660620145,80.6191187747,63.876470518,49.6847511099,5.535,22.6240688243,28.2164380178,10.8548488111,28.0891723632,56.01,27.1722472342,110.472980898,1.05,48.9,23.733503975,75.2980653426,31.98,33.7513318588,35.8927129149,41.5805701267,19.6971249167,86.45,49.61,60.5678305461,39.9739500432
2012-11-20,24.935203556,32.64,30.87,9.50057305065,30.2302739313,62.4351293558,381.13,10.2858812566,24.5175383007,44.4386808834,93.0822354764,83.2463526993,31.4299818017,14.995,36.475,15.6206375812,31.033712439,45.9455510861,46.2041526974,41.61,38.9916355618,83.9397496708,84.6295262942,30.5741347008,34.5420945658,21.3478661534,20.898286551,30.2191921871,57.4176344902,4.63556853391,13.7083011488,55.0403476411,16.9999421773,46.1010875162,34.25,11.4237816779,43.0705048888,31.6743886123,34.8293757228,81.4405521144,64.0400233586,49.6303418187,5.555,22.4573008751,27.9606723123,10.7311597839,28.1450897601,54.42,27.2403267763,109.688428085,1.02,48.17,23.9816511413,75.4584825726,32.01,33.8000772833,36.7985227045,41.0711892767,20.2078258244,86.01,50.71,60.5502797404,39.6898171242
2012-11-21,24.6327920465,32.84,31.34,9.54174067581,30.2394876692,62.9650722959,381.87,9.95047208517,24.6666077395,44.6199075279,94.2099606408,82.9206359157,31.6382998252,15.125,39.695,15.7398790895,30.6026886552,46.3413837389,46.311833768,41.47,39.0510627069,83.9766341043,84.9201829386,30.8731703988,34.576277737,21.8398268015,21.1521723572,30.4356620452,57.6605483309,4.72661727539,13.8862125448,55.409364928,17.269930306,45.9770487157,34.62,11.4749885233,42.9300755479,31.7663316852,35.0344051604,81.5865847081,63.6584000639,50.1200254398,5.52,22.4549520308,27.8145204805,11.0393654174,28.3268212999,55.45,27.3424460894,108.844288983,1.04,49.06,24.2475231052,75.3693618893,32.43,33.5271029066,36.6417479332,40.995725447,20.1328605535,88.06,51.95,60.4537503089,39.7786086614
2012-11-23,25.3475828872,33.4,31.8,9.51429559237,30.9120905333,64.2801158881,383.12,10.0622751423,24.9121338742,45.6786526616,95.0881890875,83.9320722438,31.8552977664,15.3,39.8625,16.0465001107,30.7769323125,47.7026618862,46.6348769797,42.03,39.7641884478,84.2717095728,84.9976913771,31.5527969852,34.8411973144,21.8317618728,21.545446449,30.7387198465,58.3173153816,4.9245493221,13.9774491581,55.9770838309,17.642327725,46.7626277855,35.14,11.6286090593,43.1613709328,32.3179901226,35.6494934734,82.672702124,64.6760621831,50.836414441,5.68,22.7250691316,28.4539347444,11.1140819346,28.8160985226,55.41,27.606254315,110.204842595,1.05,49.74,24.3538718907,76.6883480025,32.76,34.229037018,37.2078790518,41.4202094887,20.3296443895,89.71,50.79,61.6033280837,40.391270268
2012-11-26,25.7530892295,33.295,32.24,9.57375993983,31.3635636886,63.8384967714,382.93,10.7330934851,24.8069083879,45.2017404392,95.0881890875,82.509204189,31.6556596605,14.93,40.055,16.2296209984,30.8869809381,47.6061173368,46.2041526974,42.175,39.5487650469,85.8946246494,85.7049558785,31.6071671121,34.5677319442,21.8317618728,21.7794196429,30.8426253784,58.1823632479,5.04330855013,13.9090216981,55.2863591657,17.6237078541,44.8524302579,34.87,11.4563678522,42.8805122512,32.4972791147,34.0519724383,83.2294513876,64.1944899302,50.2560486679,5.695,22.9388139679,28.6457590236,11.3055430099,28.8533767871,55.88,27.4360554597,109.976428485,1.01,49.71,24.7969918305,76.6705238658,32.84,33.5368519915,37.9743334892,41.0428903406,20.8262893089,90.3,50.82,61.3488414008,39.6187838944
2012-11-27,25.6637403744,33.18,31.92,9.47770214779,31.4372735915,63.3870638964,382.38,11.0857031269,25.9819263179,45.4020435726,94.8985715819,82.7234915467,31.7684985899,14.885,39.0925,16.2676931085,30.5568350611,47.7992064357,46.3477274582,41.13,39.333341646,85.5350014222,85.937481194,31.2265762237,34.7130104221,21.7178004014,21.6201187449,30.4356620452,57.9844334518,4.89288019463,13.9363926821,55.0687335862,17.4375091446,44.786276231,35.27,11.5727470462,42.2582450603,32.4926819611,33.8554858939,82.8826239774,65.0849442845,50.3920718959,5.68,22.7861390848,28.6000865762,11.3522408332,29.0968970505,56.04,27.2998963756,108.536426486,1.0,48.51,24.5665694618,76.7596445492,32.71,33.9463135565,33.6194787312,40.646705235,20.5264282255,89.56,51.85,60.9890498835,39.4323216663
