Date,A,ADBE,ADSK,AMAT,AVGO,AYI,AZO,BBBY,BBY,BRCD,CAG,CASY,COO,COST,CPB,CPRT,CRM,CSCO,DCI,DG,DKS,DLTR,DRI,FDS,FDX,FL,GIS,GME,GPN,GPS,HD,HPQ,HRL,INTU,JBL,JWN,KMX,KR,KSS,LOW,M,MON,MSM,MTN,MU,NKE,NTAP,NVDA,ORCL,PANW,PDCO,PVH,RAD,RHT,RPM,SJM,SNPS,SPLS,STZ,THO,TJX,TTC,URBN,VMW,WDAY,WMT,WSM
2014-03-10,40.4789778866,68.04,52.59,18.2862224216,59.4109325143,140.691183037,541.63,68.3730834549,23.4082447944,9.54517419041,26.7825228059,65.6255651592,134.063015206,106.606119239,39.8598232017,18.42,59.78,19.1769993353,39.7546650432,57.3474623769,51.9107254833,54.29,39.2630411864,100.849990102,134.420287138,42.83577916,44.791092942,32.3306564592,36.1341193946,37.3994136267,75.8294308355,12.2957423906,22.2014999992,78.4696912365,17.3955917703,53.4173510399,48.84,20.8164084799,47.3924948726,46.8949655128,50.9335160463,105.68532476,81.9082737823,65.2194040268,24.85,37.8891146124,34.9273375125,17.3416751681,36.8090170155,78.26,38.7328632911,124.039470756,6.43,59.51,39.4613078018,89.0404616046,40.46,9.96959385492,81.843567578,55.4373800997,59.4617806746,31.8364190125,37.51,103.03,100.95,67.7264091638,54.0860956968
2014-03-11,39.5809919627,67.47,52.81,18.0503320395,58.6730260277,138.446373973,539.98,68.2057436307,23.1673825195,9.41338677555,26.7643219749,64.068807241,132.88448315,106.717758425,39.6326758162,18.185,61.02,19.1062681252,39.9509612966,57.3474623769,54.1465270226,54.43,39.3179216354,101.454456792,133.864509076,43.0221432198,45.0485640412,32.3138656743,36.154069219,37.2303063304,75.4418868959,12.299854679,22.0047778473,77.9422122561,17.1866927425,53.1188347879,48.53,20.6213289947,47.7196959637,46.3977794412,51.6521238089,104.057249775,81.1110678582,65.5880835295,24.67,37.8027631231,34.5855465874,17.5142291498,36.8469058647,77.16,39.0567166631,122.08006287,6.44,58.67,39.232094815,88.4359280725,39.99,9.96102154722,80.4689466097,55.3154159871,59.0891293093,31.7127454888,35.91,103.75,100.91,68.1722769656,53.8578457993
2014-03-12,39.7202145866,68.06,52.34,18.4088854203,59.7704254181,137.70469697,540.91,68.0974649209,22.9622035445,9.37102653506,27.1374390103,65.5385414246,134.272753962,107.182921699,40.1687436459,18.17,61.52,19.2919375517,39.7359701619,57.2412633725,54.6433718092,54.96,39.4590427898,101.243373186,134.352033692,42.5748694762,45.5901411808,32.3222610668,36.2189061482,36.7585859777,74.7644040883,12.1682614494,22.1125066448,77.6161343409,17.1771973321,53.0506025017,47.64,20.8735049146,47.504432088,46.322732487,51.713468374,104.764299482,80.9998298223,65.7079043679,24.84,37.8843173075,34.9642878828,17.5621608115,36.4869617971,77.92,39.2417757328,121.383826566,6.92,59.1,39.0395559061,89.7457507254,39.9,9.85815385482,81.024644448,55.0621059071,58.7738089232,31.4891818113,35.2932,106.87,102.63,68.7273368822,53.8395858075
2014-03-13,38.8779177123,67.08,50.47,17.8144416574,59.2974084395,139.197940003,528.74,67.4576361814,22.5607664196,9.30042613424,26.8189244679,66.1863847819,133.38386114,106.43866046,39.996111633,17.81,59.06,19.0266955138,39.0536069951,55.6675872163,54.6051529794,54.21,38.424154324,99.4299731165,133.269729044,42.3885054163,45.2882785128,31.4407448558,35.3810135245,36.7318848256,73.1310208808,11.8886258365,21.9017329106,76.8680732414,16.8828396111,52.4620990334,47.14,20.6926995381,46.9189143461,45.6942142455,51.2294246775,104.150282631,79.4332274831,63.8276389041,24.11,37.673235889,34.3268939954,17.0061535369,35.6628793266,76.44,38.6865985237,114.421463521,6.77,57.41,38.4436021405,88.8389504272,39.6,9.61812923922,80.205721318,54.461667199,58.3438265787,30.9278942805,34.89,103.97,101.21,68.1813763085,59.1075934404
2014-03-14,38.5925113334,67.19,50.47,17.6634718128,59.2974084395,137.961811664,533.25,67.2312352428,22.9265202445,9.28159936069,26.7734223904,67.1823230774,132.185353964,105.545546973,40.0233693192,17.8,58.16,18.8763032784,38.9881749107,55.2138278339,54.0032064112,53.92,38.5887956708,99.4587572446,133.347732983,41.9971408906,44.187367606,33.0161701099,35.3610637002,37.4528159308,73.6692948923,11.9544224513,22.0750357587,76.6379005954,16.8353625594,52.3085763895,47.21,20.8925370595,47.2891682123,46.050687278,51.5550540733,105.32249662,80.0728461896,64.2331863571,23.96,37.5724924847,33.7818760337,17.0828441954,35.6155182651,76.79,38.0759035936,114.421463521,6.81,57.62,38.3702539848,88.0970229105,39.49,9.68670770082,80.4299502702,54.6211587308,58.6209263118,30.9421643025,35.55,105.5,100.91,67.5899190204,58.8976035348
2014-03-17,38.8431120563,68.17,51.28,17.9087978102,59.9880132282,140.265954888,539.45,67.0343648614,23.2030658195,9.33807968134,26.9008282074,68.3426395381,133.503711857,105.554850239,39.8779949925,17.95,58.32,19.0178541126,39.4368520614,55.725513946,54.7102547612,53.68,38.9651187493,100.303091668,134.147273353,42.3046415894,44.7733363145,33.668362285,35.7550727315,37.5596205389,73.8549066205,12.1230262768,22.0937712018,77.2516943181,17.091738639,52.9567831082,47.56,20.9448754579,48.0899498299,46.4165411798,51.8366794967,105.973726614,81.2871947484,64.8599415117,23.93,37.8891146124,34.4562202914,17.0828441954,36.202795428,78.51,38.4460217331,115.704527568,6.87,58.63,38.8011743999,88.0420653167,39.75,9.80672000862,79.8060088378,55.8314180019,59.2897877367,30.9231376065,35.34,109.74,101.57,67.9538927361,60.9518526117
2014-03-18,39.5322640444,68.52,52.43,18.2767868063,60.6313163192,141.689974735,538.35,67.2410787619,23.2387491195,9.45104032265,27.1283385948,67.8881822577,136.420079319,105.917677593,40.3141179726,18.12,59.63,19.1239509277,39.4181571801,55.90894859,54.4904964902,53.66,38.7847972742,110.003342833,135.112572093,43.0687342348,45.0219290999,32.5164384433,36.4084294797,37.5062182348,74.0776406942,12.5671534267,22.2623901891,77.3571901141,17.4715550532,53.2297122529,47.91,20.9353593855,47.9866231695,46.7448716044,51.8190779077,106.355161325,81.843384928,65.8922441192,24.49,38.2057367401,34.6040217725,17.4854701529,36.7900725908,79.82,38.6680926167,118.419849155,6.88,58.81,39.1587466592,89.5076011522,40.37,9.80672000862,80.693175562,55.9346184049,58.0953923351,30.9944877164,35.87,110.22,104.25,68.0357868222,60.4314428455
2014-03-19,39.4208859453,67.63,51.05,18.3711429592,61.191837733,139.909949927,533.36,66.827650961,23.1220166084,9.65813483171,26.9281294539,67.2983547234,137.448797979,104.987351044,39.9688539467,18.1,58.43,19.1239509277,38.8573107417,55.8510218603,54.1083081929,53.27,38.479034773,105.282745827,134.927312739,43.1619162647,45.0485640412,31.85577624,36.1490817629,37.0344978821,74.0126765894,13.0030559997,22.107822784,76.9256164029,17.3386193082,53.0335444301,47.35,20.7878602625,47.1083465567,46.5103498725,51.5286516898,105.006184909,81.0090996586,65.9198950819,23.98,37.9706687968,34.2622308474,17.787439621,36.515378434,78.66,38.5292983144,117.813128947,6.83,58.24,39.2045892566,88.0603845146,40.42,9.77243077782,79.63052531,55.7188357441,57.8182926019,30.8280041267,35.95,109.35,102.05,67.6809124493,60.2579729235
2014-03-20,39.4696138637,68.49,51.61,19.0505072596,62.0468703981,139.98906214,533.0,66.7587463275,23.2028314238,9.79933563335,27.2921460737,67.9075208653,138.40760372,105.275752274,40.5594371489,18.09,59.12,19.3007789529,39.0909967577,55.5903515768,54.1274176078,53.32,38.6515161839,103.622861108,133.094220182,43.3669167306,45.3237917679,32.5587885846,36.368529831,36.8742909698,74.3282165272,12.9454839617,22.1827645562,77.3859616949,16.8448579697,53.187067074,47.39,20.9306013493,47.2805576573,46.4822072647,51.6606636071,106.057456185,80.4158301337,66.7862919133,24.01,38.0282364564,34.2668496437,17.8018191195,36.3448786125,78.52,38.501539454,118.479526553,6.87,58.47,38.5444558547,88.573322057,40.57,9.69528000852,80.4007030156,56.3005107427,57.9902855398,31.0563244782,35.88,110.67,100.15,68.5908467387,60.477092825
2014-03-21,39.0449848609,67.14,50.04,19.0316360291,60.7073192227,137.942033611,536.86,66.4929713126,24.2085269034,9.78992224657,27.3649493977,67.5110794079,133.833301331,105.899071062,40.4685781947,18.335,57.03,19.132792329,39.1844711641,56.0248020493,53.9936517037,52.75,39.7177649062,102.577037787,133.37698446,42.7146425211,45.3060351404,32.0336468332,36.1790064994,37.1057009542,74.6344758786,13.1387615177,22.1546613916,76.1871458302,16.825867149,53.3064735748,48.42,20.9210852768,48.0382864997,46.2007811864,51.8982850581,105.38761962,81.7506865647,66.8968957641,23.66,36.0805306407,34.91809992,17.7730601225,35.520796142,76.56,38.0666506402,119.235440255,6.64,57.4,38.5902984521,87.950469327,40.11,9.81529231632,80.9758990236,56.8258946123,59.0031328404,30.9944877164,36.38,109.21,97.1,69.2459994272,61.1527125214
